reference,pad,actual_net,symbol_alias
U102,1,/pad_0,pad_0_1
U102,2,/pad_1,pad_1_2
U102,3,/pad_2,pad_2_3
U102,4,/pad_3,pad_3_4
U102,5,/pad_4,pad_4_5
U102,6,/pad_5,pad_5_6
U102,7,/pad_6,pad_6_7
U102,8,/pad_7,pad_7_8
U102,9,GND,GND_9
U102,10,/pad_9,pad_9_10
U102,11,/pad_10,pad_10_11
U102,12,/pad_11,pad_11_12
U102,13,/pad_12,pad_12_13
U102,14,/pad_13,pad_13_14
U102,15,/pad_14,pad_14_15
U102,16,/pad_15,pad_15_16
U102,17,/pad_16,pad_16_17
U102,18,VDD_IO_0,VDD_IO_18
U102,19,GND,GND_19
U102,20,/pad_19,pad_19_20
U102,21,/pad_20,pad_20_21
U102,22,/pad_21,pad_21_22
U102,23,/pad_22,pad_22_23
U102,24,/pad_23,pad_23_24
U102,25,/pad_24,pad_24_25
U102,26,PWR_AUX_0,PWR_AUX_26
U102,27,GND,GND_27
U102,28,/pad_27,pad_27_28
U102,29,/pad_28,pad_28_29
U102,30,/pad_29,pad_29_30
U102,31,/pad_30,pad_30_31
U102,32,/pad_31,pad_31_32
U102,33,/pad_32,pad_32_33
U102,34,GND,GND_34
U102,35,VDD_CORE_0,VDD_CORE_35
U102,36,GND,GND_36
U102,37,VDD_IO_1,VDD_IO_37
U102,38,/pad_37,pad_37_38
U102,39,/pad_38,pad_38_39
U102,40,/pad_39,pad_39_40
U102,41,/pad_40,pad_40_41
U102,42,/pad_41,pad_41_42
U102,43,/pad_42,pad_42_43
U102,44,/pad_43,pad_43_44
U102,45,/pad_44,pad_44_45
U102,46,GND,GND_46
U102,47,/pad_46,pad_46_47
U102,48,/pad_47,pad_47_48
U102,49,/pad_48,pad_48_49
U102,50,/pad_49,pad_49_50
U102,51,/pad_50,pad_50_51
U102,52,/pad_51,pad_51_52
U102,53,/pad_52,pad_52_53
U102,54,/pad_53,pad_53_54
U102,55,/pad_54,pad_54_55
U102,56,/pad_55,pad_55_56
U102,57,GND,GND_57
U102,58,VDD_IO_2,VDD_IO_58
U102,59,/pad_58,pad_58_59
U102,60,/pad_59,pad_59_60
U102,61,/pad_60,pad_60_61
U102,62,/pad_61,pad_61_62
U102,63,GND,GND_63
U102,64,PWR_AUX_1,PWR_AUX_64
U102,65,/pad_64,pad_64_65
U102,66,/pad_65,pad_65_66
U102,67,/pad_66,pad_66_67
U102,68,/pad_67,pad_67_68
U102,69,/pad_68,pad_68_69
U102,70,/pad_69,pad_69_70
U102,71,GND,GND_71
U102,72,VDD_CORE_1,VDD_CORE_72
U102,73,GND,GND_73
U102,74,VDD_IO_3,VDD_IO_74
U102,75,GND,GND_75
U102,76,GND,GND_76
U102,77,GND,GND_77
U102,78,GND,GND_78
U102,79,GND,GND_79
U102,80,GND,GND_80
U102,81,GND,GND_81
C106,,,
C106,,,
C106,1,PWR_AUX_1,
C106,2,GND,
C108,,,
C108,,,
C108,1,VDD_IO_2,
C108,2,GND,
C104,,,
C104,,,
C104,1,VDD_CORE_1,
C104,2,GND,
C101,,,
C101,,,
C101,1,VDD_IO_1,
C101,2,GND,
C102,,,
C102,,,
C102,1,VDD_IO_3,
C102,2,GND,
C107,,,
C107,,,
C107,1,VDD_IO_0,
C107,2,GND,
C105,,,
C105,,,
C105,1,PWR_AUX_0,
C105,2,GND,
C103,,,
C103,,,
C103,1,VDD_CORE_0,
C103,2,GND,
U101,1,/pad_7,pad_7_1
U101,2,/pad_6,pad_6_2
U101,3,/pad_5,pad_5_3
U101,4,/pad_4,pad_4_4
U101,5,/pad_3,pad_3_5
U101,6,/pad_2,pad_2_6
U101,7,/pad_1,pad_1_7
U101,8,/pad_0,pad_0_8
U101,9,VDD_IO_3,VDD_IO_9
U101,10,GND,GND_10
U101,11,VDD_CORE_1,VDD_CORE_11
U101,12,/pad_69,pad_69_12
U101,13,/pad_68,pad_68_13
U101,14,/pad_67,pad_67_14
U101,15,/pad_66,pad_66_15
U101,16,/pad_65,pad_65_16
U101,17,/pad_64,pad_64_17
U101,18,GND,GND_18
U101,19,PWR_AUX_1,PWR_AUX_19
U101,20,/pad_61,pad_61_20
U101,21,/pad_60,pad_60_21
U101,22,/pad_59,pad_59_22
U101,23,/pad_58,pad_58_23
U101,24,VDD_IO_2,VDD_IO_24
U101,25,GND,GND_25
U101,26,/pad_55,pad_55_26
U101,27,/pad_54,pad_54_27
U101,28,/pad_53,pad_53_28
U101,29,/pad_52,pad_52_29
U101,30,/pad_51,pad_51_30
U101,31,/pad_50,pad_50_31
U101,32,/pad_49,pad_49_32
U101,33,/pad_48,pad_48_33
U101,34,/pad_47,pad_47_34
U101,35,/pad_46,pad_46_35
U101,36,/pad_44,pad_44_36
U101,37,/pad_43,pad_43_37
U101,38,/pad_42,pad_42_38
U101,39,/pad_41,pad_41_39
U101,40,/pad_40,pad_40_40
U101,41,/pad_39,pad_39_41
U101,42,/pad_38,pad_38_42
U101,43,/pad_37,pad_37_43
U101,44,VDD_IO_1,VDD_IO_44
U101,45,GND,GND_45
U101,46,VDD_CORE_0,VDD_CORE_46
U101,47,/pad_32,pad_32_47
U101,48,/pad_31,pad_31_48
U101,49,/pad_30,pad_30_49
U101,50,/pad_29,pad_29_50
U101,51,/pad_28,pad_28_51
U101,52,/pad_27,pad_27_52
U101,53,GND,GND_53
U101,54,PWR_AUX_0,PWR_AUX_54
